uid	iids
1	111,256
2	300,316
3	320,181
4	294,11
5	40,24
6	153,272
7	433,582
8	233,685
9	483,487
10	321,340
11	736,51
12	204,216
13	917,916
14	50,269
15	476,934
16	152,404
17	126,151
18	923,59
19	211,435
20	82,87
21	436,675
22	550,250
23	91,694
24	655,742
25	1,174
26	1012,9
27	123,370
28	288,223
29	182,12
30	315,538
31	611,498
32	405,628
33	323,348
34	299,899
35	332,937
36	885,339
37	89,265
38	1030,452
39	352,347
40	294,754
41	430,1
42	121,845
43	124,316
44	176,183
45	764,820
46	181,125
47	301,327
48	181,187
49	386,518
50	544,123
51	172,83
52	204,191
53	546,1087
54	307,298
55	79,144
56	1047,410
57	304,199
58	367,191
59	321,323
60	684,272
61	304,347
62	1133,1130
63	405,300
64	191,651
65	98,185
66	763,249
67	405,833
68	1028,178
69	42,12
70	217,408
71	65,197
72	198,479
73	272,285
74	508,13
75	190,196
76	93,955
77	518,52
78	412,237
79	1008,7
80	466,237
81	1,3
82	71,310
83	127,298
84	31,385
85	272,182
86	683,270
87	87,1189
88	261,326
89	880,187
90	141,385
91	234,230
92	268,307
93	476,235
94	302,690
95	1116,445
96	1154,1232
97	32,663
98	629,25
99	433,273
100	690,272
101	121,181
102	175,202
103	487,96
104	50,181
105	288,327
106	275,313
107	902,312
108	718,290
109	53,1157
110	41,94
111	311,286
112	1106,339
113	979,975
114	156,522
115	4,178
116	900,344
117	222,298
118	288,1079
119	995,917
120	742,405
121	25,717
122	1168,1044
123	285,276
124	195,96
125	94,158
126	878,681
127	62,449
128	88,684
129	1176,906
130	272,669
131	285,536
132	664,137
133	269,316
134	15,1
135	581,77
136	525,89
137	89,261
138	493,602
139	458,127
140	304,880
141	333,300
142	7,425
143	347,325
144	65,480
145	572,354
146	1022,331
147	339,301
148	1012,993
149	303,340
150	628,410
151	1299,966
152	313,272
153	79,258
154	484,187
155	321,306
156	318,510
157	1258,407
158	70,290
159	258,259
160	531,302
161	186,69
162	174,710
163	318,98
164	370,934
165	176,432
166	343,894
167	530,133
168	819,225
169	443,174
170	304,749
171	269,327
172	183,582
173	260,292
174	709,238
175	9,88
176	458,117
177	307,92
178	302,342
179	301,895
180	961,98
181	280,974
182	471,111
183	222,241
184	632,283
185	237,287
186	829,98
187	275,462
188	216,455
189	512,150
190	628,405
191	316,86
192	108,1061
193	127,366
194	51,737
195	591,421
196	108,1118
197	449,554
198	942,101
199	14,473
200	866,831
201	233,227
202	96,484
203	815,93
204	9,297
205	289,316
206	1127,302
207	316,302
208	739,402
209	321,242
210	167,94
211	117,257
212	735,511
213	176,31
214	98,89
215	54,226
216	182,216
217	761,391
218	33,203
219	879,906
220	289,298
221	751,346
222	895,1226
223	216,155
224	403,239
225	604,1443
226	25,250
227	324,1008
228	812,427
229	286,882
230	420,100
231	471,846
232	52,4
233	313,269
234	867,152
235	923,52
236	729,79
237	185,191
238	111,458
239	272,269
240	898,245
241	880,292
242	331,268
243	157,285
244	1188,1057
245	181,258
246	260,816
247	258,50
248	249,405
249	469,216
250	1161,1014
251	685,25
252	410,124
253	732,4
254	1443,258
255	597,763
256	765,783
257	245,345
258	323,873
259	959,39
260	990,322
261	410,125
262	923,179
263	622,50
264	1009,1355
265	282,273
266	124,508
267	1240,464
268	433,178
269	922,1017
270	559,860
271	257,248
272	12,514
273	303,316
274	629,88
275	199,423
276	316,915
277	221,302
278	22,173
279	230,269
280	1168,200
281	304,322
282	294,343
283	433,49
284	344,301
285	168,198
286	1074,1060
287	100,291
288	197,435
289	24,455
290	88,120
291	582,496
292	1039,631
293	206,416
294	520,902
295	196,1170
296	209,204
297	750,752
298	252,820
299	333,915
300	1012,409
301	1228,719
302	301,271
303	1226,249
304	278,271
305	1456,778
306	13,1514
307	449,313
308	928,122
309	286,319
310	845,257
311	276,9
312	573,835
313	309,1210
314	983,1145
315	340,305
316	191,582
317	748,260
318	72,158
319	268,880
320	433,250
321	519,428
322	50,528
323	64,238
324	1094,827
325	737,386
326	445,444
327	1100,435
328	344,1483
329	174,651
330	422,215
331	682,268
332	302,728
333	88,100
334	603,1525
335	323,322
336	276,121
337	67,631
338	175,382
339	240,194
340	1133,405
341	880,330
342	381,428
343	357,81
344	298,1014
345	534,295
346	385,1217
347	404,85
348	834,831
349	847,125
350	98,195
351	1105,1316
352	86,234
